LineId,text,anomaly_score,anomaly_result,label,correct
0,081111 090241 18 warn dfs.fs dataset: unexpected error trying to delete block blk_6566051927569845875. block info not found in volume map.,1.0,memory,memory,True
1,081111 090159 18 warn dfs.fs dataset: unexpected error trying to delete block blk_7534533660812792996. block info not found in volume map.,1.0,memory,memory,True
2,081111 075911 18 warn dfs.fs dataset: unexpected error trying to delete block blk_1461024735745698387. block info not found in volume map.,1.0,memory,memory,True
3,081111 090159 18 warn dfs.fs dataset: unexpected error trying to delete block blk_6076470189789795393. block info not found in volume map.,1.0,memory,memory,True
4,081111 090159 18 warn dfs.fs dataset: unexpected error trying to delete block blk_9031832835842620344. block info not found in volume map.,1.0,memory,memory,True
5,081111 090159 18 warn dfs.fs dataset: unexpected error trying to delete block blk_8060218452544934476. block info not found in volume map.,1.0,memory,memory,True
6,081110 220947 15862 info dfs. data node$ data xceiver: receiving block blk_5079888220751859855 src: /10.251.38.53:51044 dest: /10.251.38.53:50010,1.0,network,other,False
7,081110 221706 16033 info dfs. data node$ data xceiver: receiving block blk_1307619428224621707 src: /10.250.10.213:39650 dest: /10.250.10.213:50010,1.0,network,other,False
8,081110 225002 16588 info dfs. data node$ data xceiver: receiving block blk_6898864280128170485 src: /10.250.15.198:56155 dest: /10.250.15.198:50010,1.0,network,other,False
9,081110 115133 10577 info dfs. data node$ data xceiver: receiving block blk_-6500619929415578199 src: /10.250.11.53:57051 dest: /10.250.11.53:50010,1.0,io,other,False
10,081110 114024 10471 info dfs. data node$ data xceiver: receiving block blk_2396900819018927237 src: /10.251.195.33:58630 dest: /10.251.195.33:50010,1.0,network,other,False
11,081110 003559 4955 info dfs. data node$ data xceiver: receiving block blk_8468544095570201619 src: /10.251.111.209:60824 dest: /10.251.111.209:50010,1.0,network,other,False
12,081110 205302 14382 info dfs. data node$ packet responder: packet responder 1 for block blk_-5813396771799368499 terminating,1.0,network,network,True
13,081110 063121 7302 info dfs. data node$ packet responder: packet responder 1 for block blk_-7300378375784765109 terminating,1.0,network,network,True
14,081110 013735 5795 info dfs. data node$ packet responder: packet responder 1 for block blk_8678326327271817525 terminating,1.0,network,network,True
